"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,1.11569811443245,0.156439286403913,0.81170498573524,1,1998,"MAB","summer"
"2",2,0.230089440713676,0.215355329808007,0.77851496067847,2,1999,"MAB","summer"
"3",3,0.389538061762099,0.245867026122924,0.79941533387604,3,2000,"MAB","summer"
"4",4,0.595744922379878,0.342846745390899,0.77936777067715,4,2001,"MAB","summer"
"5",5,0.231858181433398,0.348584642786065,0.79099663173006,5,2002,"MAB","summer"
"6",6,0.390678295993344,0.191792058791689,0.81926107795063,6,2003,"MAB","summer"
"7",7,0.835798829407449,0.197652049682134,0.8296832962554,7,2004,"MAB","summer"
"8",8,0.87087642180178,0.150305086065267,0.81396684055768,8,2005,"MAB","summer"
"9",9,0.402018961222595,0.162772012628328,0.85252244634327,9,2006,"MAB","summer"
"10",10,0.7279280993997,0.187079782698602,0.82834091139766,10,2007,"MAB","summer"
"11",11,1.15145111837177,0.495495280142825,0.79169049141151,11,2008,"MAB","summer"
"12",12,0.407601204266828,0.347627605067176,0.80345420004806,12,2009,"MAB","summer"
"13",13,0.834907750825621,0.399168271630331,0.79821408121861,13,2010,"MAB","summer"
"14",14,0.799594477319145,0.542703034547342,0.73738207304291,14,2011,"MAB","summer"
"15",15,0.984701340193486,0.12406568412901,0.82307816652886,15,2012,"MAB","summer"
"16",16,0.264957876400254,0.241180190197167,0.79838137181064,16,2013,"MAB","summer"
"17",17,0.588399846775145,0.247782835270016,0.81974253367609,17,2014,"MAB","summer"
"18",18,0.553538753176254,0.767038898258829,0.79961106317662,18,2015,"MAB","summer"
"19",19,0.644426847908504,0.353197768943165,0.77794918603098,19,2016,"MAB","summer"
"20",20,0.294950818013865,0.264965741036709,0.82762532314084,20,2017,"MAB","summer"
"21",21,0.927018109098281,0.189981223474826,0.79485744520992,21,2018,"MAB","summer"
"22",22,0.573797861912496,0.193351023962192,0.77294423567731,22,2019,"MAB","summer"
