"","EPU","zoo_name","season","year","anom1"
"118","GB","Large","fall",2001,0.0242322611220153
"119","GB","Large","fall",2002,-0.0121859692006765
"120","GB","Large","fall",2003,0.365823085748535
"121","GB","Large","fall",2004,0.39145585145547
"122","GB","Large","fall",2005,0.0629238482287103
"123","GB","Large","fall",2006,-0.00823220220457842
"124","GB","Large","fall",2007,0.302493847454735
"125","GB","Large","fall",2008,-0.126536050903619
"126","GB","Large","fall",2009,-0.216936716487901
"127","GB","Large","fall",2010,-0.157645177492424
"128","GB","Large","fall",2011,-0.0743085649552157
"129","GB","Large","fall",2012,-0.552468655018523
"130","GB","Large","fall",2013,-0.372049827122827
"131","GB","Large","fall",2014,-0.103771719331788
"132","GB","Large","fall",2015,-0.26753052144599
"133","GB","Large","fall",2016,-0.615558289509798
"134","GB","Large","fall",2017,-0.353629416253903
"135","GB","Large","fall",2018,-0.199862397617308
"136","GB","Large","fall",1977,0.176862526191134
"137","GB","Large","fall",1978,0.214673136790234
"138","GB","Large","fall",1979,-0.00605474891876996
"139","GB","Large","fall",1980,-0.174498463151451
"140","GB","Large","fall",1981,-0.141151404963008
"141","GB","Large","fall",1982,0.273718938103169
"142","GB","Large","fall",1983,-0.163761193378795
"143","GB","Large","fall",1984,0.0749474883457829
"144","GB","Large","fall",1985,0.23411359568511
"145","GB","Large","fall",1986,-0.217273171368735
"146","GB","Large","fall",1987,0.496717666453593
"147","GB","Large","fall",1988,0.207992768172501
"148","GB","Large","fall",1989,-0.134889824906478
"149","GB","Large","fall",1990,-0.234771447432296
"150","GB","Large","fall",1991,-0.0706043690547666
"151","GB","Large","fall",1992,0.00842853121080781
"152","GB","Large","fall",1993,-0.0877935382152532
"153","GB","Large","fall",1994,0.380379251104375
"154","GB","Large","fall",1995,-0.445424727043284
"155","GB","Large","fall",1996,0.0219273763380585
"156","GB","Large","fall",1997,0.083956173513881
"157","GB","Large","fall",1998,-0.0378071150104162
"158","GB","Large","fall",1999,-0.30103332500758
"159","GB","Small","spring",2000,0.291660372855708
"160","GB","Small","spring",2001,0.816683955219146
"161","GB","Small","spring",2002,-0.0718152119046931
"162","GB","Small","spring",2003,-0.141432477164384
"163","GB","Small","spring",2004,0.0379739908226876
"164","GB","Small","spring",2005,-0.0987204928277808
"165","GB","Small","spring",2006,-0.519554168839846
"166","GB","Small","spring",2007,-0.10225510658845
"167","GB","Small","spring",2008,-0.482567941345512
"168","GB","Small","spring",2009,-0.330179704623095
"169","GB","Small","spring",2010,-0.121906243354892
"170","GB","Small","spring",2011,-0.072672535344383
"171","GB","Small","spring",2012,0.251490082536902
"172","GB","Small","spring",2013,0.155098530477529
"173","GB","Small","spring",2014,0.157793105033872
"174","GB","Small","spring",2015,0.376683418174573
"175","GB","Small","spring",2016,0.522572900572086
"176","GB","Small","spring",2017,0.331987714125701
"177","GB","Small","spring",2018,0.406210774497377
"178","GB","Small","spring",1977,-0.191223307181167
"179","GB","Small","spring",1978,-0.0268393659155005
"180","GB","Small","spring",1979,-0.126834271721395
"181","GB","Small","spring",1980,-0.217109654626831
"182","GB","Small","spring",1981,-0.268534062357185
"183","GB","Small","spring",1982,-0.0508187129959274
"184","GB","Small","spring",1983,-0.112601128918221
"185","GB","Small","spring",1984,-0.330101259166761
"186","GB","Small","spring",1985,-0.285777717063082
"187","GB","Small","spring",1986,-0.147290162210049
"188","GB","Small","spring",1987,-0.139341620732068
"189","GB","Small","spring",1988,-0.582068508664329
"190","GB","Small","spring",1989,-0.212697730008254
"191","GB","Small","spring",1990,-0.500658852649263
"192","GB","Small","spring",1992,-0.0173090586785884
"193","GB","Small","spring",1993,-0.0377009437108025
"194","GB","Small","spring",1994,0.0640686457315083
"195","GB","Small","spring",1995,-0.0521923753102108
"196","GB","Small","spring",1996,0.133996352867738
"197","GB","Small","spring",1997,0.0342589981539434
"198","GB","Small","spring",1998,0.28493486266078
"199","GB","Small","spring",1999,0.241378512705034
"200","GB","Small","summer",2000,0.122656863196527
"201","GB","Small","summer",2001,0.329791296192111
"202","GB","Small","summer",2002,0.0994740042825788
"203","GB","Small","summer",2003,-0.13267609446901
"204","GB","Small","summer",2004,-0.129616996466569
"205","GB","Small","summer",2005,-0.283899869508547
"206","GB","Small","summer",2006,-0.0727593000687541
"207","GB","Small","summer",2007,-0.443688027660966
"208","GB","Small","summer",2008,0.104275177558769
"209","GB","Small","summer",2009,-0.194382950624275
"210","GB","Small","summer",2010,-0.0202428379947061
"211","GB","Small","summer",2011,0.17258364755223
"212","GB","Small","summer",2012,0.0715931350135088
"213","GB","Small","summer",2013,-0.119424547602027
