NAME,MAP,SENSOR,PROD,ALG,PERIOD,PERIOD_CODE,MATH,UNITS,MTIME_FILE,MTIME_SUBAREA,REGION,SUBAREA,N_SUBAREA,N,MEAN,VAR,SKEW
M_200211-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200211,M,STATS,oC,1568070783,1593555329,NES_EPU_NOESTUARIES,GB,10614,10600,12.59605407103053,0.8777837666194571,-0.09340470303237158
M_200212-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200212,M,STATS,oC,1568071897,1593555329,NES_EPU_NOESTUARIES,MAB,19066,19053,11.85688805769092,3.763919858175252,0.3693671905926734
M_200212-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200212,M,STATS,oC,1568071897,1593555329,NES_EPU_NOESTUARIES,GOM,11621,11618,8.300804262092303,0.1295482294721919,-1.638495704189076
M_200212-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200212,M,STATS,oC,1568071897,1593555329,NES_EPU_NOESTUARIES,SS,5621,5593,7.812816693108005,0.2870037951241931,-0.4361062832545308
M_200212-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200212,M,STATS,oC,1568071897,1593555329,NES_EPU_NOESTUARIES,GB,10614,10600,9.401757781010753,0.8192409424764501,0.4332823464120962
M_200301-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200301,M,STATS,oC,1568064964,1593555329,NES_EPU_NOESTUARIES,MAB,19066,19053,8.901600567492288,4.169865306949140,0.6628796982910758
M_200301-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200301,M,STATS,oC,1568064964,1593555329,NES_EPU_NOESTUARIES,GOM,11621,11618,5.996823862633661,0.8084430964645083,-0.4097671593510153
M_200301-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200301,M,STATS,oC,1568064964,1593555329,NES_EPU_NOESTUARIES,SS,5621,5593,4.352238322634316,1.267538773757609,0.1665384042495783
M_200301-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200301,M,STATS,oC,1568064964,1593555329,NES_EPU_NOESTUARIES,GB,10614,10600,6.842194152688080,0.3177997089429761,0.8370284181900985
M_200302-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200302,M,STATS,oC,1568065775,1593555329,NES_EPU_NOESTUARIES,MAB,19066,19053,6.911301348807899,7.130293955285537,0.8042915851863148
M_200302-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200302,M,STATS,oC,1568065775,1593555329,NES_EPU_NOESTUARIES,GOM,11621,11618,4.261816866325212,0.6199795156052695,0.3436325863714524
M_200302-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200302,M,STATS,oC,1568065775,1593555329,NES_EPU_NOESTUARIES,SS,5621,5593,2.971596152735976,0.4918603954953719,-0.5564415449395279
M_200302-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200302,M,STATS,oC,1568065775,1593555329,NES_EPU_NOESTUARIES,GB,10614,10600,4.918201334431486,0.5154502374984981,0.4113506072266584
M_200303-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200303,M,STATS,oC,1568066638,1593555329,NES_EPU_NOESTUARIES,MAB,19066,19053,6.536727472871506,4.761421350958235,1.058117873574777
M_200303-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200303,M,STATS,oC,1568066638,1593555329,NES_EPU_NOESTUARIES,GOM,11621,11618,4.048202154865813,0.3318825327751826,-0.1239335002681538
M_200303-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200303,M,STATS,oC,1568066638,1593555329,NES_EPU_NOESTUARIES,SS,5621,5593,2.497671005381852,0.4703861258929031,0.1334853087690397
M_200303-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200303,M,STATS,oC,1568066638,1593555329,NES_EPU_NOESTUARIES,GB,10614,10600,4.223229006438885,0.2857894173874226,0.6550620776839897
M_200304-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200304,M,STATS,oC,1568067502,1593555329,NES_EPU_NOESTUARIES,MAB,19066,19053,7.537421226826814,2.891323153115652,0.9745675489142085
M_200304-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200304,M,STATS,oC,1568067502,1593555329,NES_EPU_NOESTUARIES,GOM,11621,11618,4.790389223073309,0.2526603521866126,-0.3622890864072353
M_200304-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200304,M,STATS,oC,1568067502,1593555329,NES_EPU_NOESTUARIES,SS,5621,5593,3.638854674655253,0.3648584227413136,0.3043630171515950
